slug,row_type,order,series_name,start_location,end_location,delay,slice_thickness,plane,acquisition,fov,thickness_increment,kernel,ir_strength,notes
ct-elbow,acquisition,1,CT Elbow,Distal humerus,Proximal radius/ulna,N/A or 60s if contrast,0.625 mm,,,,,,,Submillimeter
ct-elbow,recon,1,,,,,,Axial,Elbow,Elbow,1.5 mm/1 mm,Bone,N/A,Axial bone
ct-elbow,recon,2,,,,,,Coronal,Elbow,Elbow,1.5 mm/1 mm,Bone,N/A,Coronal elbow
ct-elbow,recon,3,,,,,,Sagittal,Elbow,Elbow,1.5 mm/1 mm,Bone,N/A,Sagittal elbow
ct-elbow,recon,4,,,,,,3D surface,Elbow,Bones,0.625 mm source,Bone,N/A,3D for complex fractures
ct-foot,acquisition,1,CT Foot,Calcaneus,Toes,N/A or 60s if contrast,0.625 mm,,,,,,,Submillimeter
ct-foot,recon,1,,,,,,Axial,Foot,Foot,1 mm/1 mm,Bone,N/A,Axial bone
ct-foot,recon,2,,,,,,Coronal,Foot,Foot,1.5 mm/1 mm,Bone,N/A,Coronal foot
ct-foot,recon,3,,,,,,Sagittal,Foot,Foot,1.5 mm/1 mm,Bone,N/A,Sagittal foot
ct-foot,recon,4,,,,,,Oblique,Foot,Lisfranc,1.5 mm,Bone,N/A,Lisfranc joint
ct-gout-protocol,acquisition,1,DECT or CT,Joint region,Extended coverage,N/A,0.625-1 mm,,,,,,,Dual energy if available
ct-gout-protocol,recon,1,,,,,,Axial,Gout,Joints,1 mm/1 mm,Bone and Standard,3,Standard images
ct-gout-protocol,recon,2,,,,,,DECT urate,Gout,Joints,Color overlay,Urate algorithm,N/A,Urate crystal map
ct-gout-protocol,recon,3,,,,,,3D volume,Gout,Urate burden,Volumetric,Urate,N/A,Quantify total urate
ct-gout-protocol,recon,4,,,,,,Coronal,Gout,Joints,1.5 mm,Bone,N/A,Joint erosions
ct-hand,acquisition,1,CT Hand,Distal radius/ulna,Fingertips,N/A or 60s if contrast,0.625 mm,,,,,,,Submillimeter
ct-hand,recon,1,,,,,,Axial,Hand,Hand,1 mm/0.75 mm,Bone,N/A,Thin axial
ct-hand,recon,2,,,,,,Coronal,Hand,Hand,1 mm/0.75 mm,Bone,N/A,Coronal hand
ct-hand,recon,3,,,,,,Sagittal,Hand,Hand,1 mm/0.75 mm,Bone,N/A,Sagittal hand
ct-hand,recon,4,,,,,,Oblique sagittal,Hand,Scaphoid,1 mm,Bone,N/A,Scaphoid long axis
ct-hip,acquisition,1,CT Pelvis/Hips,Iliac crests,Proximal femurs,N/A or 60s if contrast,0.625 mm,,,,,,,Submillimeter for 3D
ct-hip,recon,1,,,,,,Axial,Hips,Pelvis/hips,2 mm/2 mm,Bone,N/A,Axial bone
ct-hip,recon,2,,,,,,Coronal,Hips,Pelvis/hips,2 mm/2 mm,Bone,N/A,Coronal hips
ct-hip,recon,3,,,,,,Sagittal,Hips,Each hip,2 mm/2 mm,Bone,N/A,Sagittal hips
ct-hip,recon,4,,,,,,Judet views,Hips,Acetabulum,2 mm oblique,Bone,N/A,Obturator and iliac obliques
ct-knee,acquisition,1,CT Knee,Distal femur,Proximal tib/fib,N/A or 60s if contrast,0.625 mm,,,,,,,Submillimeter
ct-knee,recon,1,,,,,,Axial,Knee,Knee,1.5 mm/1 mm,Bone,N/A,Bone algorithm
ct-knee,recon,2,,,,,,Coronal,Knee,Knee,1.5 mm/1 mm,Bone,N/A,Coronal knee
ct-knee,recon,3,,,,,,Sagittal,Knee,Knee,1.5 mm/1 mm,Bone,N/A,Sagittal knee
ct-knee,recon,4,,,,,,3D surface,Knee,Bones,0.625 mm source,Bone,N/A,3D for surgical planning
ct-lower-extremity,acquisition,1,CT Lower Extremity,Proximal to injury,Distal to injury,N/A or 60s if contrast,0.625-1 mm,,,,,,,Submillimeter
ct-lower-extremity,recon,1,,,,,,Axial,Lower extremity,Region,2 mm/2 mm,Bone,N/A,Bone windows
ct-lower-extremity,recon,2,,,,,,Coronal,Lower extremity,Region,2 mm/2 mm,Bone,N/A,Coronal
ct-lower-extremity,recon,3,,,,,,Sagittal,Lower extremity,Region,2 mm/2 mm,Bone,N/A,Sagittal
ct-lower-extremity,recon,4,,,,,,3D surface,Lower extremity,Bones,0.625 mm source,Bone,N/A,3D reconstruction
ct-pelvis-msk,acquisition,1,CT Pelvis,Iliac crests,Proximal femurs,N/A or 60s if contrast,0.625 mm,,,,,,,Submillimeter for 3D
ct-pelvis-msk,recon,1,,,,,,Axial,Pelvis,Pelvis,2 mm/2 mm,Bone,N/A,Axial bone
ct-pelvis-msk,recon,2,,,,,,Coronal,Pelvis,Pelvis,2 mm/2 mm,Bone,N/A,Coronal pelvis
ct-pelvis-msk,recon,3,,,,,,Sagittal,Pelvis,Pelvis,2 mm/2 mm,Bone,N/A,Sagittal sacrum
ct-pelvis-msk,recon,4,,,,,,Inlet/Outlet,Pelvis,Pelvic ring,2-3 mm oblique,Bone,N/A,Pelvic ring views
ct-shoulder,acquisition,1,CT Shoulder,Entire scapula,Proximal humerus,N/A or 60s if contrast,0.625 mm,,,,,,,Submillimeter
ct-shoulder,recon,1,,,,,,Axial,Shoulder,Shoulder,1.5 mm/1 mm,Bone,N/A,Axial bone
ct-shoulder,recon,2,,,,,,Coronal,Shoulder,Shoulder,2 mm/1.5 mm,Bone,N/A,Coronal shoulder
ct-shoulder,recon,3,,,,,,Sagittal,Shoulder,Shoulder,2 mm/1.5 mm,Bone,N/A,Sagittal shoulder
ct-shoulder,recon,4,,,,,,Oblique,Shoulder,Glenoid,1.5 mm,Bone,N/A,Glenoid en face
ct-upper-extremity,acquisition,1,CT Upper Extremity,Proximal to injury,Distal to injury,N/A or 60s if contrast,0.625-1 mm,,,,,,,Submillimeter
ct-upper-extremity,recon,1,,,,,,Axial,Upper extremity,Region,1-2 mm/1-2 mm,Bone,N/A,Bone windows
ct-upper-extremity,recon,2,,,,,,Coronal,Upper extremity,Region,2 mm/2 mm,Bone,N/A,Coronal
ct-upper-extremity,recon,3,,,,,,Sagittal,Upper extremity,Region,2 mm/2 mm,Bone,N/A,Sagittal
ct-upper-extremity,recon,4,,,,,,3D surface,Upper extremity,Bones,0.625 mm source,Bone,N/A,3D if complex
ct-wrist,acquisition,1,CT Wrist,Distal radius/ulna,Mid-carpus,N/A or immediate if arthrogram,0.625 mm,,,,,,,Submillimeter
ct-wrist,recon,1,,,,,,Axial,Wrist,Wrist,1 mm/0.75 mm,Bone,N/A,Axial bone
ct-wrist,recon,2,,,,,,Coronal,Wrist,Wrist,1 mm/0.75 mm,Bone,N/A,Coronal wrist
ct-wrist,recon,3,,,,,,Sagittal,Wrist,Wrist,1 mm/0.75 mm,Bone,N/A,Sagittal wrist
ct-wrist,recon,4,,,,,,Oblique sagittal,Wrist,Scaphoid,1 mm,Bone,N/A,Scaphoid long axis
msk-protocol-general,acquisition,1,Non-contrast,Region,Region,N/A,0.625-1 mm,,,,,,,Baseline if done
msk-protocol-general,acquisition,2,Contrast phase,Region,Region,60-90 sec if done,0.625-1 mm,,,,,,,Standard if done
msk-protocol-general,acquisition,3,Delayed phase,Region,Region,5-10 min if done,1-2 mm,,,,,,,For infection/tumor
msk-protocol-general,recon,1,,,,,,Axial,Acquisition,Region,1-2 mm/1-2 mm,Bone and Standard,3,Primary images
msk-protocol-general,recon,2,,,,,,Coronal,Region,Region,2 mm/2 mm,Bone and Standard,3,Coronal reformats
msk-protocol-general,recon,3,,,,,,Sagittal,Region,Region,2 mm/2 mm,Bone and Standard,3,Sagittal reformats
msk-protocol-general,recon,4,,,,,,3D if needed,Region,Bones,0.625-1 mm source,Bone,N/A,3D for surgical planning
brain-stroke-protocol,acquisition,1,NC Head,Skull base,Vertex,N/A,5 mm,,,,,,,STAT no contrast
brain-stroke-protocol,acquisition,2,CTA Arch to Vertex,Aortic arch,Vertex,Bolus tracked aorta,0.625 mm,,,,,,,Intracranial vessels
brain-stroke-protocol,acquisition,3,CTP (optional),Skull base,Vertex,Auto-triggered,5 mm dynamic,,,,,,,Perfusion if candidate
brain-stroke-protocol,recon,1,,,,,,Axial,NC head,Brain,5 mm/5 mm,Brain,3,STAT hemorrhage detection
brain-stroke-protocol,recon,2,,,,,,Axial,CTA Arch to Vertex,Head and Neck,1 mm/1 mm,Brain,3,LVO detection
brain-stroke-protocol,recon,3,,,,,,MIP,CTA,Circle of Willis,Thick slab,Brain,N/A,Vessel overview
brain-stroke-protocol,recon,4,,,,,,CTP maps,CTP,Perfusion,Color maps,N/A,N/A,CBF CBV MTT Tmax maps
ct-cervical-spine,acquisition,1,C-spine Helical,Skull base,T1,N/A or 60s if contrast,0.625 mm,,,,,,,Submillimeter acquisition
ct-cervical-spine,recon,1,,,,,,Axial,C-spine,C-spine,2 mm/2 mm,Bone,3,Bone and soft tissue
ct-cervical-spine,recon,2,,,,,,Sagittal,C-spine,C-spine,2 mm/1.5 mm,Bone,3,Midline and parasagittal
ct-cervical-spine,recon,3,,,,,,Coronal,C-spine,C-spine,2 mm/2 mm,Bone,3,Coronal alignment
ct-cervical-spine,recon,4,,,,,,Oblique sagittal,C-spine,Neural foramina,2 mm,Bone,3,Foraminal narrowing
ct-complete-spine,acquisition,1,Complete Spine,Skull base,Sacrum,N/A or 60s if contrast,0.625-1 mm,,,,,,,Submillimeter entire spine
ct-complete-spine,recon,1,,,,,,Axial,Spine,Full spine,2 mm/2 mm,Bone,3,Axial entire spine
ct-complete-spine,recon,2,,,,,,Sagittal,Spine,Full spine,2 mm/1.5 mm,Bone,3,Sagittal full spine
ct-complete-spine,recon,3,,,,,,Coronal,Spine,Full spine,2.5 mm/2 mm,Bone,3,Coronal full spine
ct-facial-bones,acquisition,1,Facial Bones,Frontal sinus,Mandible,N/A,0.625 mm,,,,,,,Submillimeter for 3D
ct-facial-bones,recon,1,,,,,,Axial,Face,Face,1.25 mm/1 mm,Bone,N/A,Axial bone windows
ct-facial-bones,recon,2,,,,,,Coronal,Face,Face,1.25 mm/1 mm,Bone,N/A,Coronal face
ct-facial-bones,recon,3,,,,,,Sagittal,Face,Midface,2 mm/1.5 mm,Bone,N/A,Sagittal midline
ct-facial-bones,recon,4,,,,,,3D,Face,Facial bones,0.625 mm source,Bone,N/A,3D surface rendering
ct-head-3d-stereotactic,acquisition,1,Stereotactic Head,Vertex,Skull base,N/A (or 60-90s if contrast),0.5-0.625 mm,,,,,,,Isotropic submillimeter
ct-head-3d-stereotactic,recon,1,,,,,,Axial,Stereo,Brain,0.5 mm/0.5 mm,Brain (Bone if needed),3,Isotropic axial
ct-head-3d-stereotactic,recon,2,,,,,,Coronal,Stereo,Brain,0.5 mm/0.5 mm,Brain,3,Isotropic coronal
ct-head-3d-stereotactic,recon,3,,,,,,Sagittal,Stereo,Brain,0.5 mm/0.5 mm,Brain,3,Isotropic sagittal midline
ct-head-3d-stereotactic,recon,4,,,,,,3D surface,Stereo,Brain,0.5 mm source,Brain,3,Surface for navigation
ct-lumbar-spine,acquisition,1,L-spine Helical,T12,Sacrum,N/A or 60s if contrast,0.625 mm,,,,,,,Submillimeter
ct-lumbar-spine,recon,1,,,,,,Axial,L-spine,L-spine,2 mm/2 mm,Bone,3,Bone and soft tissue
ct-lumbar-spine,recon,2,,,,,,Sagittal,L-spine,L-spine,2 mm/1.5 mm,Bone,3,Midline and parasagittal
ct-lumbar-spine,recon,3,,,,,,Coronal,L-spine,L-spine,2.5 mm/2 mm,Bone,3,Coronal overview
ct-lumbar-spine,recon,4,,,,,,Oblique sagittal,L-spine,Neural foramina,2 mm,Bone,3,Foraminal assessment
ct-myelogram,acquisition,1,CT Myelogram,Region of interest,Extended coverage,N/A,0.625 mm,,,,,,,Submillimeter for detail
ct-myelogram,recon,1,,,,,,Axial,Myelogram,Spine,1 mm/1 mm,Bone and Standard,3,Nerve roots and thecal sac
ct-myelogram,recon,2,,,,,,Sagittal,Myelogram,Spine,1.5 mm/1 mm,Standard,3,Thecal sac and compression
ct-myelogram,recon,3,,,,,,Coronal,Myelogram,Spine,2 mm/1.5 mm,Standard,3,Coronal nerve roots
ct-myelogram,recon,4,,,,,,Oblique sagittal,Myelogram,Neural foramina,1.5 mm,Standard,3,Foraminal nerve roots
ct-orbits,acquisition,1,Axial Orbits,Superior orbital rim,Maxillary sinus,N/A or 60s if contrast,1-1.5 mm,,,,,,,Parallel to optic nerves
ct-orbits,recon,1,,,,,,Axial,Orbits,Orbits,1.5 mm/1 mm,Bone and Standard,3,Bone for fractures soft tissue for pathology
ct-orbits,recon,2,,,,,,Coronal,Orbits,Orbits,1.5 mm/1 mm,Bone and Standard,3,Coronal orbits
ct-orbits,recon,3,,,,,,Sagittal,Orbits,Optic nerve,2 mm/1.5 mm,Standard,3,Optic nerve canal
ct-orbits,recon,4,,,,,,3D if trauma,Orbits,Orbital bones,1 mm source,Bone,N/A,3D if complex fracture
ct-parathyroid-4d,acquisition,1,Non-Contrast,Skull base,Carina,N/A,2.5 mm,,,,,,,Baseline
ct-parathyroid-4d,acquisition,2,Arterial Phase,Skull base,Carina,25 sec,2 mm,,,,,,,Parathyroid enhancement
ct-parathyroid-4d,acquisition,3,Venous Phase,Skull base,Carina,55 sec,2 mm,,,,,,,Thyroid enhancement
ct-parathyroid-4d,acquisition,4,Delayed Phase,Skull base,Carina,90 sec,2.5 mm,,,,,,,Washout phase
ct-parathyroid-4d,recon,1,,,,,,Axial,All phases,Neck,2 mm/2 mm,Standard,3,Compare all four phases
ct-parathyroid-4d,recon,2,,,,,,Axial,Arterial,Neck,2 mm/2 mm,Standard,3,Peak parathyroid enhancement
ct-parathyroid-4d,recon,3,,,,,,Subtraction,Arterial - NC,Neck,2 mm,Standard,3,Enhance parathyroid conspicuity
ct-parathyroid-4d,recon,4,,,,,,Coronal,Arterial,Neck,2.5 mm,Standard,3,Ectopic adenoma search
ct-sinus-stereotactic,acquisition,1,Stereotactic Sinus,Frontal sinus,Hard palate,N/A,0.625 mm,,,,,,,Isotropic submillimeter
ct-sinus-stereotactic,recon,1,,,,,,Axial,Stereo,Sinuses,0.625 mm/0.625 mm,Bone,N/A,Isotropic bone
ct-sinus-stereotactic,recon,2,,,,,,Coronal,Stereo,Sinuses,0.625 mm/0.625 mm,Bone,N/A,Isotropic coronal
ct-sinus-stereotactic,recon,3,,,,,,Sagittal,Stereo,Sinuses,0.625 mm/0.625 mm,Bone,N/A,Isotropic sagittal
ct-sinus-stereotactic,recon,4,,,,,,3D surface,Stereo,Sinuses,0.625 mm source,Bone,N/A,Surface rendering for navigation
ct-sinus,acquisition,1,Coronal Sinus,Frontal sinus,Maxillary sinus,N/A,0.625 mm,,,,,,,Direct coronal if possible
ct-sinus,acquisition,2,Axial reformat,Frontal,Maxillary,From coronal,0.625 mm,,,,,,,Reformatted from coronal
ct-sinus,recon,1,,,,,,Coronal,Sinus,Sinuses,1.25 mm/0.75 mm,Bone,N/A,Bone window
ct-sinus,recon,2,,,,,,Coronal,Sinus,Sinuses,3 mm/2 mm,Standard,3,Soft tissue
ct-sinus,recon,3,,,,,,Axial,Sinus,Sinuses,2 mm/2 mm,Bone,N/A,Axial bone
ct-sinus,recon,4,,,,,,Sagittal,Sinus,Sinuses,2 mm/2 mm,Bone,N/A,Midline and lateral
ct-soft-tissue-neck,acquisition,1,Contrast Neck,Skull base,Thoracic inlet,60-70 sec,1-2 mm,,,,,,,Venous phase
ct-soft-tissue-neck,recon,1,,,,,,Axial,Neck,Neck,2.5 mm/2 mm,Standard,3,Soft tissue neck
ct-soft-tissue-neck,recon,2,,,,,,Coronal,Neck,Neck,3 mm/2.5 mm,Standard,3,Coronal neck spaces
ct-soft-tissue-neck,recon,3,,,,,,Sagittal,Neck,Midline,3 mm/2.5 mm,Standard,3,Airway and retropharyngeal
ct-temporal-bones,acquisition,1,Axial Temporal,EAC,Petrous apex,N/A,0.5-0.625 mm,,,,,,,Parallel to lateral SCC
ct-temporal-bones,acquisition,2,Coronal Temporal,EAC,IAC,N/A,0.5-0.625 mm,,,,,,,Perpendicular to petrous ridge
ct-temporal-bones,recon,1,,,,,,Axial,Temporal,Bilateral,0.5 mm/0.5 mm,Bone sharp,N/A,Ultra HR bone
ct-temporal-bones,recon,2,,,,,,Coronal,Temporal,Bilateral,0.5 mm/0.5 mm,Bone sharp,N/A,Coronal bone
ct-temporal-bones,recon,3,,,,,,Oblique sagittal,Temporal,Ossicles,0.5 mm,Bone,N/A,Ossicular chain
ct-temporal-bones,recon,4,,,,,,Pöschl/Stenvers,Temporal,IAC,0.75 mm,Bone,N/A,IAC oriented views
ct-thoracic-spine,acquisition,1,T-spine Helical,C7,L1,N/A or 60s if contrast,0.625-1 mm,,,,,,,Submillimeter
ct-thoracic-spine,recon,1,,,,,,Axial,T-spine,T-spine,2 mm/2 mm,Bone,3,Bone and soft tissue
ct-thoracic-spine,recon,2,,,,,,Sagittal,T-spine,T-spine,2 mm/1.5 mm,Bone,3,Midline and parasagittal
ct-thoracic-spine,recon,3,,,,,,Coronal,T-spine,T-spine,2.5 mm/2 mm,Bone,3,Coronal overview
cta-head-and-neck-arch-to-vertex,acquisition,1,CTA Neck,Aortic arch,Skull base,Bolus tracked,0.625 mm,,,,,,,Arterial phase - caudocranial
cta-head-and-neck-arch-to-vertex,acquisition,2,CTA Head,Skull base,Vertex,Immediate,0.625 mm,,,,,,,Same bolus as neck - single acquisition
cta-head-and-neck-arch-to-vertex,recon,1,,,,,,Axial,CTA,Neck,1 mm/1 mm,Vascular,3,Submillimeter for carotid assessment
cta-head-and-neck-arch-to-vertex,recon,2,,,,,,Axial,CTA,Head,1 mm/1 mm,Vascular,3,Submillimeter for circle of Willis
cta-head-and-neck-arch-to-vertex,recon,3,,,,,,Coronal,CTA,Neck,2 mm/2 mm,Vascular,3,MIP for carotid overview
cta-head-and-neck-arch-to-vertex,recon,4,,,,,,Sagittal,CTA,Full,2 mm/2 mm,Vascular,3,MIP for vertebral arteries
cta-head,acquisition,1,NC Head (optional),Vertex,Foramen magnum,N/A,5 mm,,,,,,,Baseline if SAH
cta-head,acquisition,2,CTA Head,Skull base,Vertex,Bolus tracked,0.5-0.625 mm,,,,,,,Submillimeter for 3D
cta-head,recon,1,,,,,,Axial,CTA,Head,0.75 mm/0.75 mm,Brain,3,Source images
cta-head,recon,2,,,,,,MIP,CTA,Circle of Willis,Thick slab,Brain,N/A,Vessel overview
cta-head,recon,3,,,,,,3D VR,CTA,Intracranial vessels,0.5 mm source,Brain,N/A,3D angiogram
cta-head,recon,4,,,,,,Curved MPR,CTA,Individual vessels,0.75 mm,Brain,3,Vessel-specific views
cta-neck,acquisition,1,CTA Neck,Aortic arch,Skull base,Bolus tracked,0.625 mm,,,,,,,Caudocranial
cta-neck,recon,1,,,,,,Axial,CTA,Neck,1 mm/1 mm,Vascular,3,Source images
cta-neck,recon,2,,,,,,Coronal,CTA,Neck,1.5 mm,Vascular,3,Vessel overview
cta-neck,recon,3,,,,,,Sagittal,CTA,Carotids,1.5 mm,Vascular,3,Vertebral arteries
cta-neck,recon,4,,,,,,Curved MPR,CTA,Carotid bifurcations,1 mm,Vascular,3,Stenosis measurement
ctv-head,acquisition,1,NC Head,Vertex,Foramen magnum,N/A,5 mm,,,,,,,Baseline
ctv-head,acquisition,2,CTV Head,Skull base,Vertex,60-90 sec delay,0.625-1 mm,,,,,,,Venous phase
ctv-head,recon,1,,,,,,Axial,CTV,Head,1 mm/1 mm,Brain,3,Venous sinuses
ctv-head,recon,2,,,,,,MIP,CTV,Sinuses,Thick slab,Brain,N/A,Venogram overview
ctv-head,recon,3,,,,,,3D VR,CTV,Venous system,1 mm source,Brain,N/A,3D venogram
ctv-head,recon,4,,,,,,Sagittal,CTV,Midline,1.5 mm,Brain,3,Sagittal sinus
non-contrast-ct-head,acquisition,1,Non-Contrast Head,Vertex,Foramen magnum,N/A,5 mm,,,,,,,Angle parallel to hard palate
non-contrast-ct-head,recon,1,,,,,,Axial,Non-contrast,Brain,5 mm/5 mm,Brain,3,Primary diagnostic - brain window
non-contrast-ct-head,recon,2,,,,,,Axial,Non-contrast,Brain,5 mm/5 mm,Bone,N/A,Bone window for fractures
non-contrast-ct-head,recon,3,,,,,,Coronal,Non-contrast,Brain,3 mm/3 mm,Brain,3,Optional - for skull base evaluation
non-contrast-ct-head,recon,4,,,,,,Sagittal,Non-contrast,Brain,3 mm/3 mm,Brain,3,Optional - for midline structures
pregnant-trauma-ct-ap,acquisition,1,Portal Venous AP,Diaphragm,Pubic symphysis,70 sec,2.5 mm,,,,,,,Single phase minimize radiation
pregnant-trauma-ct-ap,recon,1,,,,,,Axial,Portal venous,AP,2.5 mm/2.5 mm,Standard,3,Maternal organs
pregnant-trauma-ct-ap,recon,2,,,,,,Coronal,Portal venous,AP,3 mm/3 mm,Standard,3,Overview
pregnant-trauma-ct-ap,recon,3,,,,,,Sagittal,Portal venous,Pelvis,3 mm/3 mm,Standard,3,Uterus and placenta
trauma-chest-ct,acquisition,1,NC Chest,Lung apices,Costophrenic angles,N/A,0.625-1 mm,,,,,,,Submillimeter for ribs
trauma-chest-ct,acquisition,2,CTA Chest,Arterial (bolus tracked),Lung apices to Costophrenic angles,Bolus tracked,0.625 mm,,,,,,,Evaluate for aortic injury
trauma-chest-ct,recon,1,,,,,,Axial,Chest,Chest,2.5 mm/2.5 mm,Standard,3,Mediastinal window
trauma-chest-ct,recon,2,,,,,,Axial,Chest,Chest,2.5 mm/2.5 mm,Lung,3,Lung window
trauma-chest-ct,recon,3,,,,,,Axial,CTA Chest,Chest,2.5 mm/2.5 mm,Standard,3,Evaluate for aortic injury
trauma-chest-ct,recon,4,,,,,,Coronal,Chest,Chest,2.5 mm/2.5 mm,Bone,N/A,Rib overview
trauma-chest-ct,recon,5,,,,,,Oblique sagittal,Chest,Ribs,2 mm/2 mm,Bone,N/A,Rib reformats all ribs
trauma-code-aaa,acquisition,1,Non-Contrast CAP,Diaphragm,Pubic symphysis,N/A,2.5 mm,,,,,,,RAPID - hematoma
trauma-code-aaa,acquisition,2,Arterial CAP,Diaphragm,Pubic symphysis,25-30 sec,0.625 mm,,,,,,,Active bleeding + aneurysm
trauma-code-aaa,acquisition,3,Portal Venous CAP,Diaphragm,Pubic symphysis,70 sec,2.5 mm,,,,,,,Organs and venous
trauma-code-aaa,recon,1,,,,,,Axial,All phases,CAP,2.5 mm/2.5 mm,Vascular/Standard,3,Compare phases
trauma-code-aaa,recon,2,,,,,,Coronal,Arterial,CAP,2.5 mm/2.5 mm,Vascular,3,Aorta and bleeding
trauma-code-aaa,recon,3,,,,,,Sagittal,Arterial,Aorta,2 mm/2 mm,Vascular,3,Aorta extent
trauma-code-aaa,recon,4,,,,,,3D VR,Arterial,Aorta,1.5 mm,Vascular,3,STAT 3D for EVAR planning
trauma-cta-chest-with-pv-ct-ap,acquisition,1,CTA Chest,Lung apices,Diaphragm,Bolus tracked,0.625 mm,,,,,,,Arterial phase
trauma-cta-chest-with-pv-ct-ap,acquisition,2,Portal Venous AP,Diaphragm,Pubic symphysis,70 sec from start,0.625 mm,,,,,,,Portal venous phase
trauma-cta-chest-with-pv-ct-ap,recon,1,,,,,,Axial,CTA chest,Chest,1.25 mm/1.25 mm,Vascular,3,Aorta and great vessels
trauma-cta-chest-with-pv-ct-ap,recon,2,,,,,,Axial,PV AP,Abdomen/Pelvis,2.5 mm/2.5 mm,Standard,3,Solid organs
trauma-cta-chest-with-pv-ct-ap,recon,3,,,,,,Coronal,CTA chest,Chest,2 mm/2 mm,Vascular,3,Aorta overview
trauma-cta-chest-with-pv-ct-ap,recon,4,,,,,,Sagittal,CTA chest,Aorta,2 mm/2 mm,Vascular,3,Sagittal aorta
trauma-head-and-c-spine,acquisition,1,NC Head,Vertex,Foramen magnum,N/A,5 mm,,,,,,,Parallel to hard palate
trauma-head-and-c-spine,acquisition,2,NC C-spine,Skull base,T1,N/A,0.625 mm,,,,,,,Helical submillimeter
trauma-head-and-c-spine,recon,1,,,,,,Axial,Head,Brain,5 mm/5 mm,Brain,3,Brain and bone windows
trauma-head-and-c-spine,recon,2,,,,,,Sagittal,C-spine,C-spine,2 mm/2 mm,Bone,3,Midline and parasagittal
trauma-head-and-c-spine,recon,3,,,,,,Coronal,C-spine,C-spine,2 mm/2 mm,Bone,3,Coronal alignment
trauma-head-and-c-spine,recon,4,,,,,,Axial,C-spine,C-spine,2 mm/2 mm,Bone,3,Axial bone windows
trauma-head-c-spine-and-facial-bones,acquisition,1,NC Head,Vertex,Foramen magnum,N/A,5 mm,,,,,,,Standard head
trauma-head-c-spine-and-facial-bones,acquisition,2,NC C-spine,Skull base,T1,N/A,0.625 mm,,,,,,,Submillimeter
trauma-head-c-spine-and-facial-bones,acquisition,3,NC Facial Bones,Frontal sinus,Mandible,N/A,0.625 mm,,,,,,,Submillimeter for 3D
trauma-head-c-spine-and-facial-bones,recon,1,,,,,,Axial,Head,Brain,5 mm/5 mm,Brain/Bone,3,Brain and skull
trauma-head-c-spine-and-facial-bones,recon,2,,,,,,Sagittal,C-spine,C-spine,2 mm/2 mm,Bone,3,C-spine alignment
trauma-head-c-spine-and-facial-bones,recon,3,,,,,,Axial,Face,Face,1.25 mm/1 mm,Bone,N/A,Facial bones
trauma-head-c-spine-and-facial-bones,recon,4,,,,,,Coronal,Face,Face,1.25 mm/1 mm,Bone,N/A,Facial coronal
trauma-lower-extremity-runoff-cta,acquisition,1,CTA Arterial,Coverage as needed,Distal to injury,Bolus tracked,0.625 mm,,,,,,,Arterial phase runoff
trauma-lower-extremity-runoff-cta,recon,1,,,,,,Axial,Arterial,Legs,1.5 mm/1.5 mm,Vascular,3,Assess vessels
trauma-lower-extremity-runoff-cta,recon,2,,,,,,Coronal,Arterial,Legs,2 mm/2 mm,Vascular,3,MIP overview
trauma-lower-extremity-runoff-cta,recon,3,,,,,,Sagittal,Arterial,Injured area,2 mm/2 mm,Vascular,3,Vessel-bone relationship
trauma-lower-extremity-runoff-cta,recon,4,,,,,,3D VR,Arterial,Vessels,1 mm source,Vascular,3,3D vascular anatomy
cta-abdomen-pelvis,acquisition,1,CTA Arterial,Diaphragm,Femoral heads,Bolus tracked,0.625 mm,,,,,,,Caudocranial direction
cta-abdomen-pelvis,acquisition,2,Stent Delay (optional),Top of Stent,Bottom of Stent,40 sec,0.625 mm,,,,,,,Stent coverage
cta-abdomen-pelvis,recon,1,,,,,,Axial,Arterial,Abdomen,2 mm/2 mm,Vascular,3,Abdominal aorta and visceral branches
cta-abdomen-pelvis,recon,2,,,,,,Axial,Arterial,Pelvis,2.5 mm/2.5 mm,Vascular,3,Iliac vessels
cta-abdomen-pelvis,recon,3,,,,,,Coronal,Arterial,Full AP,3 mm/3 mm,Vascular,3,MIP coronal aorta and branches
cta-abdomen-pelvis,recon,4,,,,,,Sagittal,Arterial,Full AP,3 mm/3 mm,Vascular,3,Curved MPR of aorta
cta-chest-abdomen-pelvis,acquisition,1,CTA Arterial,Thoracic inlet,Pubic symphysis,Bolus tracked,0.625 mm,,,,,,,Caudocranial from feet to head
cta-chest-abdomen-pelvis,acquisition,2,Stent Delay (optional),Top of Stent,Bottom of Stent,40 sec,0.625 mm,,,,,,,Stent coverage
cta-chest-abdomen-pelvis,acquisition,3,Vasculitis Delayed (optional),Thoracic inlet,Pubic symphysis,90 sec,0.625 mm,,,,,,,Wall enhancement/thickening
cta-chest-abdomen-pelvis,recon,1,,,,,,Axial,Arterial,Chest,2 mm/2 mm,Vascular,3,Thoracic aorta evaluation
cta-chest-abdomen-pelvis,recon,2,,,,,,Axial,Arterial,Abdomen/Pelvis,2.5 mm/2.5 mm,Vascular,3,Abdominal aorta and branches
cta-chest-abdomen-pelvis,recon,3,,,,,,Coronal,Arterial,Full CAP,3 mm/3 mm,Vascular,3,MIP full aorta overview
