protocol_name,last_updated,author,clinical_indications,patient_positioning,npo_status,premedication_notes,contrast_agent,contrast_volume,contrast_flow_rate,contrast_timing_method,contrast_roi_placement,contrast_trigger_hu,contrast_labs_notes,tech_notes,nursing_notes,radiologist_notes,gantt_contrast_volume,gantt_contrast_duration,gantt_saline_volume,gantt_saline_duration,gantt_scan_section,gantt_scan_phase,gantt_scan_style,gantt_scan_delay,gantt_scan_duration,safety_renal_function,safety_allergy_check,series_1_name,series_1_start,series_1_end,series_1_delay,series_1_thickness,series_1_notes,series_2_name,series_2_start,series_2_end,series_2_delay,series_2_thickness,series_2_notes,series_3_name,series_3_start,series_3_end,series_3_delay,series_3_thickness,series_3_notes,series_4_name,series_4_start,series_4_end,series_4_delay,series_4_thickness,series_4_notes,series_5_name,series_5_start,series_5_end,series_5_delay,series_5_thickness,series_5_notes,postproc_1_plane,postproc_1_acq,postproc_1_fov,postproc_1_thickness,postproc_1_kernel,postproc_1_ir,postproc_1_notes,postproc_2_plane,postproc_2_acq,postproc_2_fov,postproc_2_thickness,postproc_2_kernel,postproc_2_ir,postproc_2_notes,postproc_3_plane,postproc_3_acq,postproc_3_fov,postproc_3_thickness,postproc_3_kernel,postproc_3_ir,postproc_3_notes,postproc_4_plane,postproc_4_acq,postproc_4_fov,postproc_4_thickness,postproc_4_kernel,postproc_4_ir,postproc_4_notes,artifact_reduction_tip,category,kv,mas,rotation_time,pitch,additional_recons,
Gated CTA Heart Left Atrial Mapping,2024-01-15,Dr. Kim,Pre-ablation planning | Atrial fibrillation | Pulmonary vein anatomy,Supine feet-first,NPO 2-4 hours,HR < 65 preferred. Metoprolol if needed. Nitro not typically required,Isovue 370,1.1 mL/kg,4-5 mL/s,Bolus Tracking,Ascending aorta,200 HU,Full dose if eGFR > 30,Retrospective gating. Focus on left atrium and pulmonary veins. Thin slices critical. Extended coverage for all PV ostia,20G IV,Map pulmonary vein anatomy (number ostia diameters). Left atrial appendage morphology. Esophageal position. LA size,80mL,18s,30mL,7s,Heart,Arterial gated,crit,0:23,8s,Verify eGFR > 30,Check allergy history,Scout,Top of chest,Below heart,N/A,N/A,AP lateral,Gated CTA,Pulmonary veins,Below LA,Bolus tracked,0.5 mm,Retrospective - thin slices critical,,,,,,,,,,,,,,,,,,,Axial,Gated CTA,LA/PV,0.5 mm/0.5 mm,Cardiac,3,Primary PV anatomy,Coronal,Gated CTA,LA/PV,0.75 mm,Cardiac,3,PV ostia en face,Sagittal,Gated CTA,LA/PV,0.75 mm,Cardiac,3,Lateral PV views,3D VR,Gated CTA,LA/PV,0.5 mm source,Cardiac,3,3D LA and PV reconstruction for EP,Thin slices essential. Complete PV coverage. Document variants,cardiac,100,Auto ECG modulation,0.28,0.2-0.24,3D LA reconstruction. PV ostia measurements (diameter area). LAA morphology. Esophageal position,
Gated CTA TMVR,2024-01-15,Dr. Rodriguez,Pre-TMVR planning | Mitral valve replacement planning | Mitral regurgitation,Supine with arms raised,NPO 4 hours,HR < 65. Metoprolol IV prn,Omnipaque 350,140 mL,4 mL/s,Dual phase: Gated chest NO dose modulation + 90 sec delayed CAP,Ascending aorta,180 HU,Full dose if eGFR > 30,Gated CHEST with NO DOSE PULSING (full dose all phases) + delayed 90 sec CAP. TMVR post-processing required,20G IV,Measure mitral annulus. LA size. LVOT assessment. Coronary proximity. Access vessels. TMVR-specific measurements,140mL,35s,50mL,13s,TMVR,Gated chest + Delayed CAP,crit,Variable,45s,Verify eGFR > 30,Check allergy history,Scout,Thoracic inlet,Femoral heads,N/A,N/A,AP lateral,Gated CTA Chest,Top of heart,Below heart,Bolus tracked,0.5 mm,NO DOSE PULSING - retrospective all phases,Delayed CAP,Diaphragm,Femoral heads,90 sec,0.625 mm,Access planning and coronaries,,,,,,,,,,,,,Axial,Gated chest,Heart,0.5 mm/0.5 mm,Cardiac,3,Mitral valve measurements,Axial,Delayed CAP,AP,2 mm/2 mm,Vascular,3,Access vessels,Double oblique,Gated chest,Mitral valve,0.5 mm,Cardiac,3,En face mitral annulus,3D VR,Delayed CAP,Iliofemoral,1.5 mm,Vascular,3,Access planning,NO dose modulation for gated chest. Full radiation all phases for valve assessment,cardiac,100,NO ECG MODULATION chest / Auto AP,0.28 / 0.5,0.2-0.24 / 1.2-1.5,TMVR measurements: annulus dimensions. LVOT area. Coronary heights. LA volume. Access vessels,
Gated CTA TTVR,2024-01-15,Dr. Jackson,Pre-TTVR planning | Tricuspid valve replacement planning | Tricuspid regurgitation,Supine with arms raised,NPO 4 hours,HR < 65. Metoprolol IV prn,Omnipaque 350,140 mL,4 mL/s,Dual phase: Gated chest NO dose modulation + 90 sec delayed CAP,Ascending aorta,180 HU,Full dose if eGFR > 30,Gated CHEST with NO DOSE PULSING + delayed 90 sec CAP. TTVR post-processing required,20G IV,Measure tricuspid annulus. RA size. RV function. Coronary proximity. Access vessels. TTVR-specific measurements,140mL,35s,50mL,13s,TTVR,Gated chest + Delayed CAP,crit,Variable,45s,Verify eGFR > 30,Check allergy history,Scout,Thoracic inlet,Femoral heads,N/A,N/A,AP lateral,Gated CTA Chest,Top of heart,Below heart,Bolus tracked,0.5 mm,NO DOSE PULSING - all phases,Delayed CAP,Diaphragm,Femoral heads,90 sec,0.625 mm,Access planning,,,,,,,,,,,,,Axial,Gated chest,Heart,0.5 mm/0.5 mm,Cardiac,3,Tricuspid valve measurements,Axial,Delayed CAP,AP,2 mm/2 mm,Vascular,3,Access assessment,Double oblique,Gated chest,Tricuspid valve,0.5 mm,Cardiac,3,En face tricuspid annulus,3D VR,Delayed CAP,Iliofemoral,1.5 mm,Vascular,3,Access planning,NO dose modulation. Full dose all cardiac phases,cardiac,100,NO ECG MODULATION chest / Auto AP,0.28 / 0.5,0.2-0.24 / 1.2-1.5,TTVR measurements: annulus dimensions area perimeter. RA volume. RV function. Coronary proximity. Access vessels,
CT Chest Abdomen Pelvis with Contrast,2024-01-15,Dr. Smith,Oncology staging | Infection source | Abdominal pain | Trauma,Supine with arms raised,NPO 4 hours solids. Clear liquids OK up to 2 hours,Oral contrast: 250-500 mL neutral (Volumen or water). Give 60-90 min before scan,Omnipaque 350,1.5 mL/kg,3-4 mL/s,Fixed delay 70 seconds,N/A,N/A,Full dose if eGFR > 30. High volume protocol,Single phase portal venous. Oral contrast for bowel opacification. 40 second injection. 70 second scan delay from start of injection,18-20G IV. Adequate oral contrast intake. Verify renal function,Portal venous phase optimal for solid organ and bowel assessment. Systematic review all organs,150mL (70kg),40s,50mL,13s,CAP,Portal venous phase,done,1:10,30s,Verify eGFR > 30,Check allergy history,Scout/Topogram,Thoracic inlet,Pubic symphysis,N/A,N/A,AP and lateral,Portal Venous Phase,Lung bases or diaphragm,Pubic symphysis,70 sec,0.625 mm,Single portal venous phase,,,,,,,,,,,,,,,,,,,Axial,Portal venous,Chest,2.5 mm/2.5 mm,Standard,3,Chest diagnostic,Axial,Portal venous,Abdomen,2.5 mm/2.5 mm,Standard,3,Abdomen diagnostic,Axial,Portal venous,Pelvis,3 mm/3 mm,Standard,3,Pelvis diagnostic,Coronal,Portal venous,Full CAP,3 mm/3 mm,Standard,3,Coronal overview,Arms fully raised. Neutral oral contrast preferred over positive,abdomen,120,Auto (reference 200),0.5,1.0-1.375,Sagittal reformats optional,
CT KUB Non-Contrast,2024-01-15,Dr. Johnson,Nephrolithiasis | Renal colic | Flank pain | Hematuria,Supine with arms raised,None required,None,None,None,None,Non-contrast,N/A,N/A,No contrast. No oral contrast,LOW DOSE protocol. Reduced mAs. Cover kidneys to pubic symphysis. Stone protocol settings,No IV needed. No oral contrast. Explain low radiation technique,Look for stones - measure size and location. Check for hydronephrosis. Assess for alternative diagnoses,N/A,N/A,N/A,N/A,Abdomen/Pelvis,Non-contrast scan,done,0:00,15s,N/A,N/A,Scout,Top of kidneys,Pubic symphysis,N/A,N/A,AP scout,Non-Contrast KUB,Top of kidneys,Pubic symphysis,N/A,1-2 mm,Low dose technique,,,,,,,,,,,,,,,,,,,Axial,Non-contrast,KUB,2.5 mm/2.5 mm,Standard,3,Stone detection,Axial,Non-contrast,KUB,2.5 mm/2.5 mm,Bone,N/A,Bone window for stones,Coronal,Non-contrast,KUB,3 mm/3 mm,Standard,3,Coronal stone overview,MIP,Non-contrast,Kidneys/ureters,5 mm slab,Standard,N/A,Stone localization,Low dose protocol. Reduced mAs. Image quality adequate for stones,abdomen,100-120,Low dose (50-100 ref),0.5,1.375-1.5,Thin slice 1mm for small stones. Stone size measurements,
CT Enterography,2024-01-15,Dr. Martinez,Crohn disease | Small bowel obstruction | Obscure GI bleeding | Small bowel mass,Supine with arms raised,NPO 4 hours solids,Neutral oral contrast (VoLumen): 1st bottle (450mL) at 90 min. 2nd bottle (450mL) at 60 min. Half bottle (225mL) at 30 min. Other half (225mL) at 5 min before scan,Omnipaque 350,1.5 mL/kg,4-5 mL/s,Fixed delay 45 seconds,N/A,N/A,Full dose if eGFR > 30. High flow rate,Enterographic phase (45 sec). High volume neutral oral for bowel distension. 25 second injection. Scan 45 sec from start,18-20G IV. Ensure adequate oral contrast intake (total ~1350mL). May need anti-peristaltic agent,Assess bowel wall enhancement and thickness. Look for strictures fistulas abscesses. Mesenteric vascularity,150mL (70kg),25s,50mL,10s,Abdomen/Pelvis,Enteric phase,done,0:45,20s,Verify eGFR > 30,Check allergy history. Coordinate oral contrast timing,Scout,Diaphragm,Pubic symphysis,N/A,N/A,AP,Enteric Phase,Diaphragm,Pubic symphysis,45 sec,0.625 mm,Optimal small bowel enhancement,,,,,,,,,,,,,,,,,,,Axial,Enteric,Full AP,2.5 mm/2.5 mm,Standard,3,Primary diagnostic,Coronal,Enteric,Full AP,3 mm/3 mm,Standard,3,Bowel loop assessment,Sagittal,Enteric,Full AP,3 mm/3 mm,Standard,3,Mesenteric evaluation,MIP,Enteric,Mesenteric vessels,5 mm slab,Vascular,3,Vascular assessment,Adequate oral contrast distension critical. High injection rate,abdomen,100,Auto (reference 200),0.5,1.0-1.375,Curved MPR of bowel segments. Mesenteric vascular assessment,
CT Triple Phase Liver,2024-01-15,Dr. Lee,Liver lesion characterization | HCC surveillance | Liver mass protocol,Supine with arms raised,NPO 4 hours,None typically. Oral contrast optional,Omnipaque 350,1.5 mL/kg,4-5 mL/s,Triple phase: NC + Arterial + Portal Venous + Delayed,Abdominal aorta,150 HU,Full dose if eGFR > 30,FOUR acquisitions: 1) NC abdomen 2) Late arterial (bolus track or 30-35s) 3) Portal venous 70s 4) Delayed 5 min. FOV: Abdomen for NC/Art/Delay. Full AP for PV,18-20G IV. High flow rate critical,NC: characterize lesion. Arterial: hypervascular lesions HCC. Portal: most liver lesions. Delayed: washout pattern,150mL (70kg),32s,50mL,11s,Liver,Triple phase,crit,Variable,Multiple,Verify eGFR > 30,Check allergy history,Scout,Diaphragm,Iliac crests,N/A,N/A,AP,Non-Contrast,Diaphragm,Iliac crests,N/A,2.5 mm,Liver FOV,Late Arterial,Diaphragm,Iliac crests,30-35 sec or bolus track,1.25 mm,Liver FOV - hypervascular lesions,Portal Venous,Diaphragm,Pubic symphysis,70 sec,2.5 mm,Full AP FOV,Delayed Phase,Diaphragm,Iliac crests,5 min (300 sec),2.5 mm,Liver FOV - washout assessment,Axial,All phases,Liver,2.5 mm/2.5 mm,Standard,3,Compare all phases,Axial,Portal venous,Full AP,2.5 mm/2.5 mm,Standard,3,Full abdomen pelvis PV,Coronal,All phases,Liver,3 mm/3 mm,Standard,3,Coronal comparison,Subtraction,Arterial - NC,Liver,2.5 mm,Standard,3,Enhance lesion conspicuity,High flow rate. Extended 5 min delay. Breath hold coaching,abdomen,100,Auto (reference 200-250),0.5,0.9-1.0,,
CT Biphasic Pancreas,2024-01-15,Dr. Williams,Pancreatic mass | Pancreatitis | Pancreatic cyst characterization,Supine with arms raised,NPO 4 hours,Water PO: 900 mL water orally 15-30 min before scan for gastric/duodenal distension,Omnipaque 350,1.5 mL/kg,4-5 mL/s,Dual phase: Pancreatic arterial + Portal venous,Abdominal aorta,150 HU,Full dose if eGFR > 30,TWO phases: Pancreatic phase (40-45s or bolus track) + Portal venous (70s). Water for negative contrast,18-20G IV. Ensure water intake for duodenal distension,Pancreatic phase: optimal pancreatic enhancement and small lesions. Portal venous: liver and venous structures,150mL (70kg),32s,50mL,11s,Pancreas,Pancreatic + Portal phases,crit,0:40,Multiple,Verify eGFR > 30,Check allergy history. Coordinate water intake,Scout,Diaphragm,Iliac crests,N/A,N/A,AP,Pancreatic Phase,Diaphragm,Iliac crests,40-45 sec or bolus track,1-1.25 mm,Thin slices for small lesions,Portal Venous,Diaphragm,Iliac crests,70 sec,2.5 mm,Standard PV phase,,,,,,,,,,,,,Axial,Pancreatic,Pancreas,1.5 mm/1.5 mm,Standard,3,Thin slice pancreas,Axial,Portal venous,Abdomen,2.5 mm/2.5 mm,Standard,3,Liver and vessels,Coronal,Both phases,Abdomen,2.5 mm/2.5 mm,Standard,3,Pancreatic and peripancreatic,Curved MPR,Pancreatic,Pancreatic duct,1.5 mm,Standard,3,Duct evaluation,Water distension of duodenum helpful. Thin slices for pancreas,abdomen,100,Auto (reference 200-250),0.5,0.9-1.0,Curved MPR pancreatic duct. MIP pancreatic vasculature,
CT Renal Mass Protocol,2024-01-15,Dr. Davis,Renal mass characterization | Renal cell carcinoma staging | Complex cyst evaluation,Supine with arms raised,NPO 4 hours,None,Omnipaque 350,Split bolus: 1st injection 1.1 mL/kg + 2nd injection 0.4 mL/kg,4 mL/s,Split bolus technique,Abdominal aorta for 1st,150 HU,Full dose if eGFR > 30. Split bolus technique,COMPLEX protocol: 1) NC 2) 1st contrast injection 3) Arterial 20s after 1st 4) WAIT 5-7 min 5) 2nd injection + saline 6) IVP/nephrographic 90-120s after 2nd,18-20G IV. Explain split bolus technique and delay,NC: fat/calcification. Arterial: vascular anatomy and hypervascular masses. Nephrographic/IVP: delayed enhancement and collecting system,110mL + 40mL (70kg),23s + 10s,50mL,13s,Kidneys,Multi-phase renal,crit,Variable,Multiple,Verify eGFR > 30,Check allergy history,Scout,Diaphragm,Iliac crests,N/A,N/A,AP,Non-Contrast,Top kidneys,Iliac crests,N/A,2.5 mm,Baseline - detect fat/calcium,Corticomedullary,Top kidneys,Iliac crests,20 sec after 1st injection,1.25 mm,Arterial/nephrographic,Nephrographic/IVP,Top kidneys,Pubic symphysis,90-120 sec after 2nd injection,1.25 mm,Delayed enhancement + collecting system,,,,,,,Axial,Non-contrast,Kidneys,2.5 mm/2.5 mm,Standard,3,Characterize mass,Axial,Corticomedullary,Kidneys,1.5 mm/1.5 mm,Standard,3,Vascular and cortical enhancement,Axial,Nephrographic,Kidneys to pelvis,2 mm/2 mm,Standard,3,Mass enhancement + urinary opacification,Coronal,All phases,Kidneys,2.5 mm/2.5 mm,Standard,3,Compare enhancement phases,Split bolus timing critical. 5-7 min wait between injections,abdomen,100-120,Auto (reference 200),0.5,1,Compare NC vs arterial vs nephrographic. Measure HU in mass. MIP urogram,
CT IVP (Intravenous Pyelogram),2024-01-15,Dr. Anderson,Hematuria | Urothelial carcinoma | Collecting system evaluation | Hydronephrosis,Supine with arms raised,NPO 4 hours,None,Omnipaque 350,Split bolus: 1st injection 1.1 mL/kg + 2nd injection 0.4 mL/kg,4 mL/s,Split bolus technique,Abdominal aorta,150 HU,Full dose if eGFR > 30. Split bolus for combined nephrographic and excretory phases,COMPLEX protocol: 1) NC (optional stone protocol) 2) 1st contrast injection 3) Early PV 60s after 1st 4) WAIT 5-7 min 5) 2nd injection + saline 6) Excretory/IVP 90-120s after 2nd,18-20G IV. Split bolus technique. May give Lasix 10-20mg IV for better opacification,NC optional: detect stones. Early PV: renal parenchyma. Excretory: collecting system ureters bladder for urothelial lesions,110mL + 40mL (70kg),23s + 10s,50mL,13s,Urinary tract,Multi-phase IVP,done,Variable,Multiple,Verify eGFR > 30,Check allergy history,Scout,Top kidneys,Pubic symphysis,N/A,N/A,AP,Non-Contrast (optional),Top kidneys,Pubic symphysis,N/A,2 mm,Optional stone detection,Early Portal Venous,Top kidneys,Iliac crests,60 sec after 1st,2.5 mm,Nephrographic phase,Excretory Phase,Top kidneys,Pubic symphysis,90-120 sec after 2nd,1.25 mm,Collecting system opacification,,,,,,,Axial,Non-contrast,KUB,2 mm/2 mm,Standard,3,Stone detection if done,Axial,Portal venous,Kidneys,2.5 mm/2.5 mm,Standard,3,Renal parenchyma,Axial,Excretory,Full urinary tract,2 mm/2 mm,Standard,3,Urothelial surfaces,Coronal,Excretory,Full urinary tract,2.5 mm/2.5 mm,Standard,3,MIP urogram,Split bolus critical for opacification. Lasix may help. Prone imaging optional for ureters,abdomen,100-120,Auto (reference 200),0.5,1.0-1.375,MIP urogram coronal and sagittal. Curved MPR of ureters. 3D urogram,
CT Adrenal Mass Protocol,2024-01-15,Dr. Thompson,Adrenal mass characterization | Adenoma vs metastasis | Incidentaloma workup,Supine with arms raised,NPO 4 hours,None,Omnipaque 350,1.5 mL/kg,3-4 mL/s,Triple phase: NC + Portal venous + 15 min delay,N/A,N/A,Full dose if eGFR > 30,THREE phases: 1) Non-contrast for absolute HU 2) Portal venous 70s 3) 15 MINUTE delayed for washout. All phases cover adrenals,18-20G IV. Patient must wait 15 min for delayed phase,NC: lipid-rich adenoma < 10 HU. Portal venous: enhancement. 15 min delay: calculate washout (adenoma shows washout),150mL (70kg),40s,50mL,13s,Adrenals,Triple phase,done,Variable,Multiple,Verify eGFR > 30,Check allergy history. Explain 15 min delay,Scout,Diaphragm,Kidneys,N/A,N/A,AP,Non-Contrast,Diaphragm,Kidneys,N/A,2.5 mm,Measure absolute HU in mass,Portal Venous,Diaphragm,Kidneys,70 sec,2.5 mm,Enhanced HU measurement,15 Minute Delay,Diaphragm,Kidneys,15 min (900 sec),2.5 mm,Delayed HU for washout calculation,,,,,,,Axial,All phases,Adrenals,2.5 mm/2.5 mm,Standard,3,ROI measurements in mass,Axial,All phases,Adrenals,2.5 mm/2.5 mm,Standard,3,Compare enhancement,Coronal,Portal venous,Adrenals,3 mm/3 mm,Standard,3,Anatomic overview,,,,,,,,Patient wait time 15 min. Measure HU carefully with ROI in same location,abdomen,120,Auto (reference 200),0.5,1,Calculate absolute washout: (Enhanced HU - Delayed HU)/(Enhanced HU - NC HU) x 100. >60% suggests adenoma. Measure HU in all phases,
CT Cystogram,2024-01-15,Dr. Kim,Bladder rupture | Bladder injury | Post-operative bladder assessment | Hematuria with bladder concern,Supine,NPO 2-4 hours,None,Omnipaque 350 diluted,IV: 100 mL. Bladder: 350-400 mL dilute contrast (30 mL contrast in 350 mL saline),3-4 mL/s IV,Portal venous + Cystogram,N/A,N/A,eGFR > 30 for IV. Bladder instillation via Foley,TWO components: 1) CT with IV contrast portal venous 2) Bladder filling via Foley with dilute contrast 3) Scan distended bladder 4) Post-void scan. Coordinate with nursing,Foley catheter required. Dilute contrast preparation (30mL in 350mL saline). Gravity fill bladder. Patient signals fullness,Portal venous: solid organs. Cystogram: bladder integrity extravasation. Post-void: small leaks,100mL,27s,50mL,13s,Pelvis,Portal venous + Cystogram,done,1:10,Multiple,Verify eGFR > 30,Foley placement. Prepare dilute contrast,Scout,Diaphragm,Pubic symphysis,N/A,N/A,AP,Portal Venous,Diaphragm,Pubic symphysis,70 sec,2.5 mm,Standard IV contrast,Bladder Filling,N/A,N/A,During filling,N/A,Fill via Foley - not scanned,Cystogram,Iliac crests,Below bladder,After filling,2 mm,Scan distended bladder,Post-Void,Iliac crests,Below bladder,After voiding,2 mm,Scan after drainage,Axial,Cystogram,Pelvis,2 mm/2 mm,Standard,3,Distended bladder assessment,Axial,Post-void,Pelvis,2 mm/2 mm,Standard,3,Look for extravasation,Coronal,Cystogram,Pelvis,2.5 mm/2.5 mm,Standard,3,Bladder overview,Sagittal,Cystogram,Pelvis,2.5 mm/2.5 mm,Standard,3,Bladder dome and base,Adequate bladder distension critical. Gravity fill slowly. Clamp Foley during scan,abdomen,120,Auto (reference 200),0.5,1,Compare distended vs post-void. Document extravasation location. 3D reformation if complex injury,
Trauma Head and C-Spine,2024-01-15,Dr. Smith,Trauma head injury | C-spine clearance | Multi-trauma assessment,Supine head-first. Cervical collar in place,None - trauma,None,None,None,None,Non-contrast,N/A,N/A,No contrast. Trauma indication,TWO acquisitions: 1) Head vertex to C1 2) C-spine skull base to T1. Head: 5mm axial. C-spine: 0.625mm with reformats. Minimize movement,Maintain cervical precautions. C-collar remains on. Document GCS,Head: acute hemorrhage skull fractures. C-spine: fractures alignment ligamentous injury,N/A,N/A,N/A,N/A,Head/C-spine,Non-contrast scans,done,0:00,20s,N/A,N/A,Scout Head,Vertex,C1,N/A,N/A,Lateral,NC Head,Vertex,Foramen magnum,N/A,5 mm,Parallel to hard palate,Scout C-spine,Skull base,T1,N/A,N/A,AP and lateral,NC C-spine,Skull base,T1,N/A,0.625 mm,Helical submillimeter,,,,,,,Axial,Head,Brain,5 mm/5 mm,Brain,3,Brain and bone windows,Sagittal,C-spine,C-spine,2 mm/2 mm,Bone,3,Midline and parasagittal,Coronal,C-spine,C-spine,2 mm/2 mm,Bone,3,Coronal alignment,Axial,C-spine,C-spine,2 mm/2 mm,Bone,3,Axial bone windows,Keep C-collar on. Minimize patient movement,trauma,120,Auto (300 head / 250 spine),1.0 head / 0.5 spine,0.5,C-spine: Sagittal and coronal bone reformats. 3D if complex fracture,
Trauma Head C-Spine and Facial Bones,2024-01-15,Dr. Johnson,Facial trauma | Maxillofacial fractures | Orbital fractures with head/spine injury,Supine head-first. C-collar on,None - trauma,None,None,None,None,Non-contrast,N/A,N/A,No contrast,THREE acquisitions: 1) Head 2) C-spine 3) Facial bones. Face: submillimeter helical for 3D. C-collar remains,C-collar precautions. Document mechanism of injury,Head: intracranial injury. C-spine: fractures. Face: Le Fort midface orbital mandible fractures,N/A,N/A,N/A,N/A,Head/C-spine/Face,Non-contrast scans,done,0:00,30s,N/A,N/A,Scout,Vertex,T1,N/A,N/A,Lateral,NC Head,Vertex,Foramen magnum,N/A,5 mm,Standard head,NC C-spine,Skull base,T1,N/A,0.625 mm,Submillimeter,NC Facial Bones,Frontal sinus,Mandible,N/A,0.625 mm,Submillimeter for 3D,,,,,,,Axial,Head,Brain,5 mm/5 mm,Brain/Bone,3,Brain and skull,Sagittal,C-spine,C-spine,2 mm/2 mm,Bone,3,C-spine alignment,Axial,Face,Face,1.25 mm/1 mm,Bone,N/A,Facial bones,Coronal,Face,Face,1.25 mm/1 mm,Bone,N/A,Facial coronal,C-collar on. Remove dentures if safe,trauma,120,Auto (300 head / 250 other),1.0 / 0.5,0.5,3D face reconstruction. Le Fort classification. Orbital floor assessment,
Trauma Chest CT,2024-01-15,Dr. Martinez,Blunt chest trauma | Rib fractures | Pneumothorax | Hemothorax,Supine with arms raised if possible,None - trauma,None,None,None,None,Non-contrast,N/A,N/A,No contrast for initial chest trauma,Single acquisition lung apices to costophrenic angles. RIB REFORMATS required. Submillimeter acquisition,Trauma precautions. Arms up if able,Pneumothorax hemothorax. Rib fractures (count and location). Pulmonary contusion. Aortic injury. Sternal/scapular fractures,N/A,N/A,N/A,N/A,Chest,Non-contrast scan,done,0:00,10s,N/A,N/A,Scout,Lung apices,Costophrenic angles,N/A,N/A,AP and lateral,NC Chest,Lung apices,Costophrenic angles,N/A,0.625-1 mm,Submillimeter for ribs,,,,,,,,,,,,,,,,,,,Axial,Chest,Chest,2.5 mm/2.5 mm,Standard,3,Mediastinal window,Axial,Chest,Chest,2.5 mm/2.5 mm,Lung,3,Lung window,Coronal,Chest,Chest,2.5 mm/2.5 mm,Bone,N/A,Rib overview,Oblique sagittal,Chest,Ribs,2 mm/2 mm,Bone,N/A,Rib reformats all ribs,Submillimeter acquisition critical for rib detail,trauma,120,Auto (reference 200),0.5,1.0-1.2,Dedicated rib reformats (oblique sagittal each rib). Count fractures. 3D chest wall,
Trauma CTA Chest with PV CT AP,2024-01-15,Dr. Lee,Blunt thoracic trauma | Aortic injury | Great vessel injury | Multi-trauma,Supine with arms raised,None - trauma,None,Omnipaque 350,125 mL,4 mL/s,Dual phase: CTA Chest arterial + Portal venous AP,Descending aorta,150 HU,Proceed if possible. Document medical necessity,TWO acquisitions: 1) CTA CHEST arterial (bolus track) 2) Portal venous ABDOMEN/PELVIS 70s. Chest arterial for aorta/vessels,Large bore IV 18-20G. Verify flow,Chest arterial: aortic injury (intimal flap pseudoaneurysm). AP portal venous: solid organ injury,125mL,31s,50mL,13s,Chest + AP,Arterial chest + PV AP,crit,Variable,40s,eGFR > 30 if known,Trauma indication,Scout,Lung apices,Pubic symphysis,N/A,N/A,AP full,CTA Chest,Lung apices,Diaphragm,Bolus tracked,0.625 mm,Arterial phase,Portal Venous AP,Diaphragm,Pubic symphysis,70 sec from start,0.625 mm,Portal venous phase,,,,,,,,,,,,,Axial,CTA chest,Chest,1.25 mm/1.25 mm,Vascular,3,Aorta and great vessels,Axial,PV AP,Abdomen/Pelvis,2.5 mm/2.5 mm,Standard,3,Solid organs,Coronal,CTA chest,Chest,2 mm/2 mm,Vascular,3,Aorta overview,Sagittal,CTA chest,Aorta,2 mm/2 mm,Vascular,3,Sagittal aorta,Trauma indication. Fast scan. Good IV essential,trauma,100-120,Auto (reference 250),0.5,1.0-1.2,3D aorta and great vessels. Curved MPR aorta. Grade aortic injury,
Trauma Lower Extremity Runoff CTA,2024-01-15,Dr. Williams,Extremity vascular injury | Penetrating trauma | Fracture with vascular concern | Pulseless extremity,Supine legs extended,None - trauma,None,Omnipaque 350,125 mL,4-5 mL/s,Bolus Tracking,Abdominal aorta or proximal to injury,150 HU,Proceed with trauma indication,Extend coverage based on injury. Aorta to ankles if bilateral. May do unilateral focused study. Arterial phase,18-20G IV. May need proximal IV if arm injury,Assess arterial injury: transection pseudoaneurysm occlusion extravasation. Evaluate fracture relationship to vessels,125mL,28s,50mL,11s,Lower extremity,Arterial phase,crit,0:28,30s,Check if available,Trauma indication,Scout,Aorta or pelvis,Ankles,N/A,N/A,AP legs,CTA Arterial,Coverage as needed,Distal to injury,Bolus tracked,0.625 mm,Arterial phase runoff,,,,,,,,,,,,,,,,,,,Axial,Arterial,Legs,1.5 mm/1.5 mm,Vascular,3,Assess vessels,Coronal,Arterial,Legs,2 mm/2 mm,Vascular,3,MIP overview,Sagittal,Arterial,Injured area,2 mm/2 mm,Vascular,3,Vessel-bone relationship,3D VR,Arterial,Vessels,1 mm source,Vascular,3,3D vascular anatomy,Tailor coverage to injury. Fast acquisition,trauma,100-120,Auto (reference 250),0.5,1.2-1.5,MIP and 3D VR. Document vascular injury. Measure vessel caliber,
